t90	t90_error
0.008	 0.736
0.016	 0.036
0.016	 0.066
0.024	 0.097
0.032	 0.023
0.032	 0.045
0.032	 0.025
0.032	 2.240
0.032	 0.403
0.032	 0.369
0.040	 0.385
0.048	 0.023
0.048	 0.058
0.048	 0.484
0.064	 0.072
0.064	 1.922
0.064	 0.360
0.064	 0.072
0.064	 0.258
0.064	 0.036
0.064	 0.036
0.064	 0.834
0.064	 0.295
0.080	 0.788
0.080	 0.920
0.080	 0.928
0.080	 0.182
0.080	 0.036
0.080	 1.136
0.080	 0.410
0.096	 1.016
0.096	 0.136
0.096	 0.906
0.096	 0.705
0.096	 0.437
0.096	 0.093
0.112	 0.210
0.112	 0.464
0.112	 0.072
0.112	 0.116
0.128	 0.345
0.128	 0.389
0.128	 0.516
0.128	 0.163
0.128	 0.143
0.128	 0.045
0.128	 0.143
0.128	 0.091
0.128	 0.707
0.128	 0.528
0.128	 0.091
0.128	 1.235
0.128	 1.207
0.128	 1.118
0.128	 0.353
0.128	 0.516
0.128	 0.528
0.128	 0.072
0.128	 0.640
0.144	 0.804
0.144	 0.066
0.144	 0.036
0.144	 0.045
0.144	 0.036
0.160	 0.072
0.160	 0.202
0.160	 0.113
0.160	 0.315
0.160	 0.865
0.160	 0.137
0.176	 1.243
0.176	 0.072
0.176	 0.072
0.176	 0.036
0.192	 0.286
0.192	 0.143
0.192	 0.091
0.192	 1.462
0.192	 0.873
0.192	 1.478
0.192	 0.548
0.192	 0.516
0.192	 0.143
0.192	 0.143
0.192	 0.643
0.192	 0.143
0.192	 1.032
0.192	 0.707
0.192	 0.091
0.192	 0.264
0.192	 0.847
0.192	 0.143
0.192	 0.202
0.192	 0.132
0.192	 0.091
0.192	 0.143
0.192	 0.091
0.192	 0.143
0.192	 0.286
0.192	 0.091
0.192	 0.425
0.192	 0.345
0.192	 0.091
0.192	 0.272
0.192	 0.045
0.192	 0.643
0.192	 0.286
0.192	 0.036
0.208	 0.066
0.208	 0.400
0.208	 0.172
0.224	 0.036
0.224	 0.160
0.224	 0.097
0.224	 0.187
0.224	 0.396
0.240	 0.276
0.256	 0.091
0.256	 0.276
0.256	 0.707
